Geohash,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version
dpz2qqn,43.67065,-79.52179,43.67203,-79.52042,43.67126,-79.52144,Toronto,,Ontario,Canada,CA-ON,0.0501,3,2019-02-02,5.0
dpz2ym3,43.75443,-79.52866,43.7558,-79.52728,43.75511,-79.52802,Toronto,,Ontario,Canada,CA-ON,0.0119,3,2019-02-02,5.0
dpz94p3,43.80936,-79.36386,43.81073,-79.36249,43.81052,-79.3637,Toronto,,Ontario,Canada,CA-ON,0.0483,3,2019-02-02,5.0
dpz8crz,43.76816,-79.38858,43.76953,-79.38721,43.76862,-79.38809,Toronto,,Ontario,Canada,CA-ON,0.0285,4,2019-02-02,5.0
dpz8b2r,43.72696,-79.43253,43.72833,-79.43115,43.72742,-79.43151,Toronto,,Ontario,Canada,CA-ON,0.0099,4,2019-02-02,5.0
dpz8d3h,43.68713,-79.34875,43.68851,-79.34738,43.68837,-79.34837,Toronto,,Ontario,Canada,CA-ON,0.0226,4,2019-02-02,5.0
dpz8epk,43.72147,-79.3158,43.72284,-79.31442,43.722,-79.31578,Toronto,,Ontario,Canada,CA-ON,0.0075,5,2019-02-02,5.0
dpz83bb,43.64182,-79.37622,43.64319,-79.37485,43.64265,-79.37549,Toronto,,Ontario,Canada,CA-ON,0.0259,5,2019-02-02,5.0
dpz8dzy,43.72421,-79.32404,43.72559,-79.32266,43.72483,-79.32376,Toronto,,Ontario,Canada,CA-ON,0.0161,6,2019-02-02,5.0
dpz2jx8,43.63495,-79.56299,43.63632,-79.56161,43.63558,-79.56247,Toronto,,Ontario,Canada,CA-ON,0.0198,6,2019-02-02,5.0
dpz8d3g,43.69125,-79.35013,43.69263,-79.34875,43.69144,-79.34957,Toronto,,Ontario,Canada,CA-ON,0.0391,7,2019-02-02,5.0
dpz8s18,43.68988,-79.27734,43.69125,-79.27597,43.69065,-79.27657,Toronto,,Ontario,Canada,CA-ON,0.2114,7,2019-02-02,5.0
dpz8c8e,43.72833,-79.38309,43.72971,-79.38171,43.72891,-79.38185,Toronto,,Ontario,Canada,CA-ON,0.0289,9,2019-02-02,5.0
dpz8byw,43.76129,-79.41193,43.76266,-79.41055,43.76202,-79.41112,Toronto,,Ontario,Canada,CA-ON,0.0134,10,2019-02-02,5.0
dpz2ujj,43.75305,-79.62204,43.75443,-79.62067,43.75387,-79.62142,Toronto,,Ontario,Canada,CA-ON,0.1855,11,2019-02-02,5.0
dpz82z5,43.67615,-79.41605,43.67752,-79.41467,43.67679,-79.41577,Toronto,,Ontario,Canada,CA-ON,0.0229,11,2019-02-02,5.0
dpz2nvu,43.62534,-79.50256,43.62671,-79.50119,43.62635,-79.50206,Toronto,,Ontario,Canada,CA-ON,0.0438,13,2019-02-02,5.0
dpz8dd2,43.694,-79.34326,43.69537,-79.34189,43.69487,-79.34272,Toronto,,Ontario,Canada,CA-ON,0.0126,13,2019-02-02,5.0
dpz89t0,43.70911,-79.38721,43.71048,-79.38583,43.70927,-79.38606,Toronto,,Ontario,Canada,CA-ON,0.0901,14,2019-02-02,5.0
dpz2zmy,43.75717,-79.47784,43.75854,-79.47647,43.75822,-79.47711,Toronto,,Ontario,Canada,CA-ON,0.0989,14,2019-02-02,5.0
dpz2tky,43.70773,-79.56573,43.70911,-79.56436,43.70857,-79.56518,Toronto,,Ontario,Canada,CA-ON,0.0275,18,2019-02-02,5.0
dpz2sqb,43.71872,-79.61792,43.72009,-79.61655,43.71928,-79.61741,Toronto,,Ontario,Canada,CA-ON,0.0834,18,2019-02-02,5.0
dpz95b7,43.7709,-79.28421,43.77228,-79.28284,43.77189,-79.28325,Toronto,,Ontario,Canada,CA-ON,0.0408,18,2019-02-02,5.0
dpz2yhs,43.75031,-79.53552,43.75168,-79.53415,43.75122,-79.53446,Toronto,,Ontario,Canada,CA-ON,0.1534,22,2019-02-02,5.0
dpz2wht,43.70636,-79.53415,43.70773,-79.53278,43.70752,-79.53339,Toronto,,Ontario,Canada,CA-ON,0.0454,23,2019-02-02,5.0
dpz2we6,43.69949,-79.5163,43.70087,-79.51492,43.70021,-79.51583,Toronto,,Ontario,Canada,CA-ON,0.0942,24,2019-02-02,5.0
dpz9k51,43.82996,-79.27597,43.83133,-79.2746,43.83105,-79.27517,Toronto,,Ontario,Canada,CA-ON,0.0412,29,2019-02-02,5.0
dpz2tmm,43.71048,-79.56711,43.71185,-79.56573,43.71151,-79.56652,Toronto,,Ontario,Canada,CA-ON,0.0595,76,2019-02-02,5.0
dpz2n5t,43.61298,-79.53415,43.61435,-79.53278,43.6142,-79.53359,Toronto,,Ontario,Canada,CA-ON,0.3052,95,2019-02-02,5.0
dpz8u4u,43.74069,-79.27185,43.74207,-79.27048,43.74154,-79.27169,Toronto,,Ontario,Canada,CA-ON,0.0343,3,2019-02-02,5.0
dpz9003,43.7709,-79.45175,43.77228,-79.45038,43.77219,-79.45131,Toronto,,Ontario,Canada,CA-ON,0.0119,3,2019-02-02,5.0
dpz2wes,43.70087,-79.51355,43.70224,-79.51218,43.70092,-79.51286,Toronto,,Ontario,Canada,CA-ON,0.074,3,2019-02-02,5.0
dpz2zjn,43.75305,-79.48883,43.75443,-79.48746,43.75311,-79.48836,Toronto,,Ontario,Canada,CA-ON,0.0347,3,2019-02-02,5.0
dpz2w6c,43.69675,-79.52866,43.69812,-79.52728,43.69722,-79.52761,Toronto,,Ontario,Canada,CA-ON,0.0229,3,2019-02-02,5.0
dpz2xh3,43.70499,-79.4957,43.70636,-79.49432,43.70555,-79.49479,Toronto,,Ontario,Canada,CA-ON,0.0155,3,2019-02-02,5.0
dpz2pn7,43.62808,-79.49295,43.62946,-79.49158,43.62885,-79.49208,Toronto,,Ontario,Canada,CA-ON,0.0182,3,2019-02-02,5.0
dpz2tjg,43.71323,-79.58084,43.7146,-79.57947,43.71342,-79.58017,Toronto,,Ontario,Canada,CA-ON,0.0074,3,2019-02-02,5.0
dpz88gg,43.70224,-79.41605,43.70361,-79.41467,43.70314,-79.41531,Toronto,,Ontario,Canada,CA-ON,0.0101,3,2019-02-02,5.0
dpz8g82,43.72696,-79.29932,43.72833,-79.29794,43.72765,-79.29826,Toronto,,Ontario,Canada,CA-ON,0.0076,3,2019-02-02,5.0
dpz8sjg,43.71323,-79.27322,43.7146,-79.27185,43.71375,-79.27315,Toronto,,Ontario,Canada,CA-ON,0.0163,3,2019-02-02,5.0
dpz83kj,43.65967,-79.39133,43.66104,-79.38995,43.66017,-79.3905,Toronto,,Ontario,Canada,CA-ON,0.0116,3,2019-02-02,5.0
dpz8b3n,43.73108,-79.4339,43.73245,-79.43253,43.73195,-79.43261,Toronto,,Ontario,Canada,CA-ON,0.0088,3,2019-02-02,5.0
dpz91cz,43.77914,-79.36661,43.78052,-79.36523,43.77961,-79.36545,Toronto,,Ontario,Canada,CA-ON,0.0195,4,2019-02-02,5.0
dpz82s0,43.65967,-79.43115,43.66104,-79.42978,43.66097,-79.43045,Toronto,,Ontario,Canada,CA-ON,0.0338,5,2019-02-02,5.0
dpz8uj2,43.75443,-79.27734,43.7558,-79.27597,43.75501,-79.2769,Toronto,,Ontario,Canada,CA-ON,0.0204,5,2019-02-02,5.0
dpz2ns0,43.61572,-79.51904,43.6171,-79.51767,43.61672,-79.51878,Toronto,,Ontario,Canada,CA-ON,0.0215,5,2019-02-02,5.0
dpz83s2,43.66104,-79.38721,43.66241,-79.38583,43.66191,-79.38636,Toronto,,Ontario,Canada,CA-ON,0.0364,5,2019-02-02,5.0
dpz2ymw,43.7558,-79.52179,43.75717,-79.52042,43.75671,-79.52099,Toronto,,Ontario,Canada,CA-ON,0.0178,6,2019-02-02,5.0
dpz2z70,43.74207,-79.48608,43.74344,-79.48471,43.74307,-79.48595,Toronto,,Ontario,Canada,CA-ON,0.0393,6,2019-02-02,5.0
dpz2wk1,43.70361,-79.52866,43.70499,-79.52728,43.70458,-79.52822,Toronto,,Ontario,Canada,CA-ON,0.0403,6,2019-02-02,5.0
dpz8935,43.68713,-79.39407,43.68851,-79.3927,43.68796,-79.39335,Toronto,,Ontario,Canada,CA-ON,0.0259,7,2019-02-02,5.0
dpz8g8z,43.72971,-79.2897,43.73108,-79.28833,43.73049,-79.28868,Toronto,,Ontario,Canada,CA-ON,0.0134,7,2019-02-02,5.0
dpz8udh,43.73657,-79.24988,43.73795,-79.2485,43.73767,-79.2487,Toronto,,Ontario,Canada,CA-ON,0.0299,8,2019-02-02,5.0
dpz2syp,43.7146,-79.58633,43.71597,-79.58496,43.71508,-79.58625,Toronto,,Ontario,Canada,CA-ON,0.0652,8,2019-02-02,5.0
dpz887j,43.69812,-79.43527,43.69949,-79.4339,43.69902,-79.4344,Toronto,,Ontario,Canada,CA-ON,0.0585,9,2019-02-02,5.0
dpz2z2m,43.72696,-79.47922,43.72833,-79.47784,43.72799,-79.47855,Toronto,,Ontario,Canada,CA-ON,0.0528,10,2019-02-02,5.0
dpz8etn,43.70911,-79.29108,43.71048,-79.2897,43.70989,-79.29076,Toronto,,Ontario,Canada,CA-ON,0.0524,10,2019-02-02,5.0
dpz8s47,43.694,-79.27322,43.69537,-79.27185,43.69467,-79.27205,Toronto,,Ontario,Canada,CA-ON,0.1759,10,2019-02-02,5.0
dpz95en,43.78601,-79.29108,43.78738,-79.2897,43.78671,-79.28984,Toronto,,Ontario,Canada,CA-ON,0.0573,11,2019-02-02,5.0
dpz8s4k,43.694,-79.27185,43.69537,-79.27048,43.695,-79.27082,Toronto,,Ontario,Canada,CA-ON,0.1722,13,2019-02-02,5.0
dpz91cx,43.77777,-79.36661,43.77914,-79.36523,43.77851,-79.36534,Toronto,,Ontario,Canada,CA-ON,0.0486,14,2019-02-02,5.0
dpz2rm9,43.66791,-79.48471,43.66928,-79.48334,43.66891,-79.48393,Toronto,,Ontario,Canada,CA-ON,0.0223,15,2019-02-02,5.0
dpz9k9t,43.82172,-79.2485,43.82309,-79.24713,43.82283,-79.24745,Toronto,,Ontario,Canada,CA-ON,0.0688,15,2019-02-02,5.0
dpz8czb,43.76816,-79.37622,43.76953,-79.37485,43.76949,-79.37512,Toronto,,Ontario,Canada,CA-ON,0.1057,17,2019-02-02,5.0
dpz2sdn,43.69263,-79.59869,43.694,-79.59732,43.69303,-79.59833,Toronto,,Ontario,Canada,CA-ON,0.2226,59,2019-02-02,5.0
dpz86e7,43.65555,-79.33914,43.65692,-79.33777,43.65651,-79.33818,Toronto,,Ontario,Canada,CA-ON,0.0983,69,2019-02-02,5.0
dpz2se2,43.69949,-79.60693,43.70087,-79.60556,43.69998,-79.606,Toronto,,Ontario,Canada,CA-ON,0.3847,105,2019-02-02,5.0
dpz2q6e,43.65143,-79.52591,43.6528,-79.52454,43.65217,-79.52568,Toronto,,Ontario,Canada,CA-ON,0.0101,3,2019-02-02,5.0
dpz8g25,43.72559,-79.30618,43.72696,-79.30481,43.72577,-79.30607,Toronto,,Ontario,Canada,CA-ON,0.0359,3,2019-02-02,5.0
dpz2vw8,43.76129,-79.56299,43.76266,-79.56161,43.76191,-79.5622,Toronto,,Ontario,Canada,CA-ON,0.0048,3,2019-02-02,5.0
dpz87zu,43.68027,-79.28284,43.68164,-79.28146,43.68119,-79.28229,Toronto,,Ontario,Canada,CA-ON,0.0166,3,2019-02-02,5.0
dpz2yn1,43.75854,-79.53964,43.75992,-79.53827,43.759,-79.53903,Toronto,,Ontario,Canada,CA-ON,0.0083,3,2019-02-02,5.0
dpz2wv1,43.70911,-79.50668,43.71048,-79.50531,43.7097,-79.50579,Toronto,,Ontario,Canada,CA-ON,0.0269,3,2019-02-02,5.0
dpz83ds,43.65143,-79.38171,43.6528,-79.38034,43.6517,-79.38151,Toronto,,Ontario,Canada,CA-ON,0.017,3,2019-02-02,5.0
dpz2zqn,43.75854,-79.47784,43.75992,-79.47647,43.75903,-79.47738,Toronto,,Ontario,Canada,CA-ON,0.0203,3,2019-02-02,5.0
dpz826p,43.64868,-79.43253,43.65005,-79.43115,43.64955,-79.43151,Toronto,,Ontario,Canada,CA-ON,0.0096,4,2019-02-02,5.0
dpz8gq1,43.75854,-79.30893,43.75992,-79.30756,43.75942,-79.30844,Toronto,,Ontario,Canada,CA-ON,0.0421,4,2019-02-02,5.0
dpz8cj2,43.75443,-79.40918,43.7558,-79.40781,43.75544,-79.409,Toronto,,Ontario,Canada,CA-ON,0.0229,5,2019-02-02,5.0
dpz8256,43.65555,-79.45038,43.65692,-79.44901,43.65688,-79.44978,Toronto,,Ontario,Canada,CA-ON,0.1155,5,2019-02-02,5.0
dpz2u1d,43.73383,-79.62616,43.7352,-79.62479,43.7345,-79.6255,Toronto,,Ontario,Canada,CA-ON,0.0146,5,2019-02-02,5.0
dpz2uf4,43.73657,-79.5932,43.73795,-79.59183,43.73667,-79.59207,Toronto,,Ontario,Canada,CA-ON,0.0192,5,2019-02-02,5.0
dpz3p9k,43.7764,-79.4696,43.77777,-79.46823,43.77713,-79.46893,Toronto,,Ontario,Canada,CA-ON,0.0258,6,2019-02-02,5.0
