,HoodID,Neighbourhood,Pop2016,Pop2011,PopChg11t16,YearlyGrowthRate,Pop2010,Pop2009,Pop2008,Pop2007,Pop2012,Pop2013,Pop2014,Pop2015,Pop2017
92,92,Corso Italia-Davenport,14133,13743,0.03,-0.161513652,15962,18540,21535,25013,11523,9662,8101,6793,4775
93,93,Dovercourt-Wallace Emerson-Junction,36625,34631,0.06,0.01438928,34132,33641,33157,32680,35129,35634,36147,36667,37730
94,94,Wychwood,14349,13986,0.03,-0.158966197,16209,18786,21772,25233,11762,9892,8320,6997,4949
95,95,Annex,30526,29177,0.05,-0.021900348,29815,30468,31136,31818,28538,27913,27301,26703,25546
96,96,Casa Loma,10968,10487,0.05,-0.202970103,12615,15176,18256,21961,8358,6661,5309,4232,2688
97,97,Yonge-St.Clair,12528,11652,0.08,-0.181487204,13766,16265,19217,22704,9537,7806,6389,5230,3503
98,98,Rosedale-Moore Park,20923,20631,0.01,-0.093069693,22551,24649,26944,29451,18710,16969,15390,13957,11480
99,99,Mount Pleasant East,16775,15982,0.05,-0.132275959,18096,20489,23200,26268,13867,12033,10441,9060,6822
100,100,Yonge-Eglinton,11817,10578,0.12,-0.190996182,12598,15004,17870,21283,8557,6923,5600,4531,2965
101,101,Forest Hill South,10732,10926,-0.02,-0.206429972,13181,15902,19185,23145,8670,6880,5460,4333,2728
102,102,Forest Hill North,12806,12474,0.03,-0.177886417,14692,17306,20385,24011,10255,8430,6931,5698,3851
103,103,Lawrence Park South,15179,15070,0.01,-0.149454098,17322,19911,22886,26307,12817,10902,9272,7886,5705
104,104,Mount Pleasant West,29658,28593,0.04,-0.027527125,29380,30188,31019,31873,27805,27040,26296,25572,24183
105,105,Lawrence Park North,14607,14541,0.01,-0.155963301,16808,19430,22460,25963,12273,10358,8743,7379,5257
106,106,Humewood-Cedarvale,14365,14108,0.02,-0.15877872,16348,18943,21951,25437,11867,9983,8398,7064,4999
107,107,Oakwood Village,21210,21073,0.01,-0.090595167,22982,25064,27334,29811,19163,17427,15848,14413,11919
108,108,Briar Hill-Belgravia,14257,14302,0,-0.160047448,16590,19246,22326,25900,12013,10090,8475,7118,5022
109,109,Caledonia-Fairbank,9955,9851,0.01,-0.218268923,12001,14620,17811,21699,7700,6019,4706,3678,2248
110,110,Keelesdale-Eglinton West,11058,10638,0.04,-0.201666339,12783,15361,18459,22181,8492,6779,5412,4321,2754
111,111,Rockcliffe-Smythe,22246,22267,0,-0.081879867,24090,26062,28196,30505,20443,18769,17232,15821,13337
112,112,Beechborough-Greenbrook,6577,6488,0.01,-0.280460413,8307,10637,13621,17441,4668,3359,2416,1739,900
113,113,Weston,17992,18170,-0.01,-0.120035782,20351,22793,25529,28594,15988,14069,12380,10894,8436
114,114,Lambton Baby Point,7985,7921,0.01,-0.251995676,9917,12416,15544,19462,5924,4431,3315,2479,1387
115,115,Mount Dennis,13593,13145,0.03,-0.168021339,15353,17933,20946,24466,10936,9098,7570,6298,4359
116,116,Steeles,24623,25017,-0.02,-0.063048055,26594,28270,30053,31948,23439,21961,20577,19279,16925
117,117,L'Amoreaux,43993,44919,-0.02,0.052266731,42571,40346,38237,36238,47266,49737,52336,55072,60979
118,118,Tam O'Shanter-Sullivan,27446,27398,0,-0.042486433,28562,29775,31040,32359,26233,25119,24052,23030,21114
119,119,Wexford/Maryvale,27917,27018,0.03,-0.03922239,28077,29178,30323,31512,25958,24940,23961,23022,21251
120,120,Clairlea-Birchmount,26984,24770,0.09,-0.045731936,25902,27087,28326,29621,23637,22556,21524,20540,18704
121,121,Oakridge,13845,13497,0.03,-0.16495916,15723,18317,21338,24858,11270,9411,7858,6562,4575
122,122,Birchcliffe-Cliffside,22291,21856,0.02,-0.081508726,23637,25564,27647,29901,20074,18438,16935,15555,13122
123,123,Cliffcrest,15935,15703,0.02,-0.141145614,17919,20448,23334,26628,13486,11583,9948,8543,6302
124,124,Kennedy Park,17123,17058,0,-0.128705253,19253,21731,24528,27685,14862,12949,11282,9830,7463
125,125,Ionview,13641,13091,0.04,-0.167434585,15282,17841,20829,24316,10899,9074,7554,6289,4359
126,126,Dorset Park,25003,24363,0.03,-0.060173799,25829,27383,29030,30777,22896,21519,20224,19007,16788
127,127,Bendale,29960,27876,0.08,-0.025554653,28588,29318,30068,30836,27163,26469,25793,25133,23865
128,128,Agincourt South-Malvern West,23757,21988,0.08,-0.069733367,23521,25161,26916,28793,20454,19028,17701,16467,14250
129,129,Agincourt North,29113,30279,-0.04,-0.031127752,31221,32193,33195,34228,29336,28423,27538,26681,25046
130,130,Milliken,26572,27167,-0.02,-0.048663909,28489,29875,31329,32853,25844,24587,23390,22252,20139
131,131,Rouge,46496,45912,0.01,0.063977007,42974,40225,37651,35242,48849,51974,55299,58837,66606
132,132,Malvern,43794,45086,-0.03,0.05131303,42772,40577,38495,36520,47399,49831,52388,55076,60874
133,133,Centennial Scarborough,13362,13093,0.02,-0.170868495,15330,17949,21016,24607,10855,9000,7462,6187,4253
134,134,Highland Creek,12494,13097,-0.05,-0.181931963,15479,18296,21624,25558,10714,8764,7170,5865,3925
135,135,Morningside,17455,17587,-0.01,-0.125352428,19791,22272,25064,28206,15382,13454,11767,10292,7873
136,136,West Hill,27392,26547,0.03,-0.042863512,27684,28871,30109,31399,25409,24319,23277,22279,20410
137,137,Woburn,53485,53350,0,0.094197011,48324,43772,39649,35914,58375,63874,69890,76474,91560
138,138,Eglinton East,22776,22829,0,-0.07754622,24599,26506,28562,30777,21058,19425,17919,16529,14065
139,139,Scarborough Village,16724,16609,0.01,-0.13280422,18814,21313,24143,27350,14403,12490,10831,9393,7063
140,140,Guildwood,9917,9816,0.01,-0.218866638,11964,14583,17774,21665,7667,5989,4678,3654,2229
