"","Geohash","AvgAcceleration","PercentOfVehicles","AvgMonthlyVolume","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentHDT","PercentOther","Count.Date","SeverityScore","IncidentsTotal","sum_acc_count","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume"
"69","dpz80z2",0.7616,0.1176,34,0.0882,0.1765,0.1765,0.0294,0.2059,0.3235,NA,NA,NA,NA,NA,NA
"70","dpz80z3",0.4019,0.3223,301,0.0167,0.1906,0.2776,0.0502,0.1003,0.3646,NA,NA,NA,NA,NA,NA
"71","dpz80z4",1.2323,0.1429,14,0,0,0.0833,0,0.5833,0.3334,NA,NA,NA,NA,NA,NA
"72","dpz80z5",1.3655,0.25,16,0,0.3125,0.1875,0,0.0625,0.4375,2008-10-14,NA,NA,NA,1485,33
"73","dpz80z6",1.6803,0.2432,37,0,0.1714,0.5714,0,0.2286,0.0286,NA,NA,NA,NA,NA,NA
"74","dpz80z7",0.599,0.2182,55,0.0185,0.1667,0.5,0.0741,0.1296,0.1111,NA,NA,NA,NA,NA,NA
"75","dpz80z8",1.237,0.0079,46211,0.0344,0.1751,0.241,0.0785,0.1562,0.3148,NA,NA,NA,NA,NA,NA
"76","dpz80z9",1.7913,0.0833,12,0,0.0833,0.25,0.0833,0.1667,0.4167,NA,NA,NA,NA,NA,NA
"77","dpz80zb",0.8443,0.2782,133,0.0303,0.1136,0.4015,0.0606,0.0303,0.3637,NA,NA,NA,NA,NA,NA
"78","dpz80zc",2.3067,0.1875,16,0.1875,0,0.5625,0,0,0.25,NA,NA,NA,NA,NA,NA
"79","dpz80zd",0.8785,0.0042,45191,0.0376,0.1689,0.2542,0.0776,0.1562,0.3055,NA,NA,NA,NA,NA,NA
"80","dpz80ze",0.5884,0.1818,11,0,0,0.2727,0.2727,0.0909,0.3637,NA,NA,NA,NA,NA,NA
"81","dpz80zf",1.8507,0.1579,19,0.1579,0.1053,0.5263,0.0526,0,0.1579,NA,NA,NA,NA,NA,NA
"82","dpz80zg",1.1416,0.1429,14,0.2143,0.0714,0.5714,0,0,0.1429,NA,NA,NA,NA,NA,NA
"83","dpz80zh",0.2974,0.0174,805,0.0401,0.1892,0.1404,0.0739,0.1353,0.4211,NA,NA,NA,NA,NA,NA
"84","dpz80zj",0.3642,0.1875,64,0.125,0.2813,0.0781,0.2656,0,0.25,NA,NA,NA,NA,NA,NA
"85","dpz80zk",0.2845,0.007,426,0.0212,0.1792,0.158,0.0448,0.0849,0.5119,NA,NA,NA,NA,NA,NA
"86","dpz80zm",0.3504,0.0246,610,0.0347,0.2046,0.1419,0.0743,0.1056,0.4389,NA,NA,NA,NA,NA,NA
"87","dpz80zn",0.6772,0.2581,1228,0.0316,0.1646,0.1189,0.0648,0.1413,0.4788,2010-12-14,NA,NA,7,22009,120
"88","dpz80zp",0.729,0.04,25,0,0.08,0.16,0.04,0.32,0.4,NA,0.0109,4,NA,NA,NA
"89","dpz80zq",0.3231,0.1463,41,0.0488,0.1707,0.0976,0.0488,0.0976,0.5365,NA,NA,NA,NA,NA,NA
"90","dpz80zr",0.4367,0.3126,1043,0.0271,0.2161,0.1628,0.0349,0.1143,0.4448,NA,NA,NA,NA,NA,NA
"91","dpz80zs",1.5185,0.0256,39,0,0.1795,0.359,0.0769,0.1538,0.2308,NA,NA,NA,NA,NA,NA
"92","dpz80zt",0.6614,0.075,40,0,0.175,0.2,0,0.525,0.1,NA,NA,NA,NA,NA,NA
"93","dpz80zu",2.4524,0.0625,16,0.1875,0.125,0.1875,0.0625,0.1875,0.25,NA,NA,NA,NA,NA,NA
"94","dpz80zv",2.064,0.1538,13,0.0769,0.2308,0.3077,0,0.1538,0.2308,NA,NA,NA,NA,NA,NA
"95","dpz80zw",0.573,0.0468,299,0.0101,0.2349,0.2282,0.0671,0.1711,0.2886,NA,NA,NA,NA,NA,NA
"96","dpz80zx",1.1242,0.0935,9133,0.0383,0.1955,0.2104,0.0554,0.1139,0.3865,2018-01-24,NA,NA,4,11246,265
"97","dpz80zy",1.0319,0.0085,62144,0.0375,0.1715,0.2554,0.0773,0.1575,0.3008,NA,NA,NA,NA,NA,NA
"98","dpz80zz",0.8306,0.0057,48297,0.0384,0.1695,0.2582,0.0774,0.156,0.3005,NA,NA,NA,NA,NA,NA
"99","dpz81nv",0.462,0.1579,19,0,0.1579,0.4737,0,0.2105,0.1579,NA,NA,NA,NA,NA,NA
"100","dpz81ny",0.4271,0.0938,32,0,0.1563,0.3438,0.1875,0.125,0.1874,NA,NA,NA,NA,NA,NA
"101","dpz81nz",1.1275,0.0667,195,0.0513,0.241,0.2,0.0513,0.3795,0.0769,NA,NA,NA,NA,NA,NA
