"","Geohash","year","month","Count.Date","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume","sum_acc_count","temp_chg","snow","rain","SeverityScore","IncidentsTotal","AvgAcceleration","PercentOfVehicles","AvgMonthlyVolume","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentHDT","PercentOther"
"72","dpz82b",2009,"05",2017-11-16,12200,796,2,NA,0,15.2,NA,NA,2.0726,0.0526,19,0,0.0526,0.1579,0,0.4737,0.3158
"73","dpz82b",2007,"11",2017-11-16,12200,796,2,10.3,0,31.1,NA,NA,2.0726,0.0526,19,0,0.0526,0.1579,0,0.4737,0.3158
"74","dpz82b",2015,"10",2017-11-16,12200,796,2,15.6,0,58.3,NA,NA,2.0726,0.0526,19,0,0.0526,0.1579,0,0.4737,0.3158
"75","dpz82b",2015,"09",2017-11-16,12200,796,2,14.3,0,16.6,NA,NA,2.0726,0.0526,19,0,0.0526,0.1579,0,0.4737,0.3158
"76","dpz82c",2011,"03",2013-03-14,11628,4053,2,14.4,0,32.4,0.0175,3,3.7624,0.0476,21,0,0.0476,0.1429,0.0476,0.4762,0.2857
"77","dpz82c",2011,"02",2013-03-14,11628,4053,3,15.9,0,14,0.0175,3,3.7624,0.0476,21,0,0.0476,0.1429,0.0476,0.4762,0.2857
"78","dpz82c",2013,"04",2013-03-14,11628,4053,2,15.9,0,19.1,0.0175,3,3.7624,0.0476,21,0,0.0476,0.1429,0.0476,0.4762,0.2857
"79","dpz82c",2012,"06",2013-03-14,11628,4053,2,16.3,0,45.5,0.0175,3,3.7624,0.0476,21,0,0.0476,0.1429,0.0476,0.4762,0.2857
"80","dpz82c",2008,"03",2013-03-14,11628,4053,2,11,36,17.1,0.0175,3,3.7624,0.0476,21,0,0.0476,0.1429,0.0476,0.4762,0.2857
"81","dpz82d",2014,"12",2017-01-16,11340,4611,2,NA,0,18,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
"82","dpz82d",2011,"11",2017-01-16,11340,4611,3,12.8,0,47,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
"83","dpz82d",2017,"08",2017-01-16,11340,4611,2,11.9,0,8.5,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
"84","dpz82d",2008,"05",2017-01-16,11340,4611,2,16.9,0,13.1,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
"85","dpz82d",2007,"12",2017-01-16,11340,4611,2,12.7,25,23.7,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
"86","dpz82d",2007,"02",2017-01-16,11340,4611,5,16,20,5.6,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
"87","dpz82d",2016,"02",2017-01-16,11340,4611,2,17.6,10,3.5,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
"88","dpz82d",2014,"06",2017-01-16,11340,4611,3,12.5,0,34.1,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
"89","dpz82d",2010,"09",2017-01-16,11340,4611,2,13.2,0,26.9,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
