,X,Y,Index_,ACCNUM,YEAR,LATITUDE,LONGITUDE,Ward_ID,Hood_ID,MONTH,DAY,Dark,Dawn,Daylight,Dusk,Inv_PED,Inv_CYC,Inv_AM,Inv_MC,Inv_TC,Speeding,Ag_Driv,Redlight,Alcohol,Disability,AvgAcceleration,PercentOfVehicles,AvgMonthlyVolume,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,Geohash,Max_Temp,Min_Temp,Daily_dif,Ave_Temp,Rain_vol,Snow_vol
2425,-79.39909029,43.68074538,5390544,1051990,2008,43.68074538,-79.39909029,22,96,6,25,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,28.5,11.5,17.0,20.25,0.0,0.0
2426,-79.28969029,43.73304538,5439238,1073449,2008,43.73304538,-79.28969029,37,119,11,8,1,0,0,0,0,0,1,0,0,1,1,1,0,0,,,,,,,,,,,12.4,3.7,7.7,7.8500000000000005,0.7333333333333334,0.0
2427,-79.28969029,43.73304538,5439239,1073449,2008,43.73304538,-79.28969029,37,119,11,8,1,0,0,0,0,0,1,0,0,1,1,1,0,0,,,,,,,,,,,12.4,3.7,7.7,7.8500000000000005,0.7333333333333334,0.0
2428,-79.28969029,43.73304538,5439240,1073449,2008,43.73304538,-79.28969029,37,119,11,8,1,0,0,0,0,0,1,0,0,1,1,1,0,0,,,,,,,,,,,12.4,3.7,7.7,7.8500000000000005,0.7333333333333334,0.0
2429,-79.55769029,43.68534538,6258786,1207741,2010,43.68534538,-79.55769029,4,7,11,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,14.5,-1.5,16.0,6.75,0.0,0.0
2430,-79.55769029,43.68534538,6258787,1207741,2010,43.68534538,-79.55769029,4,7,11,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,14.5,-1.5,16.0,6.75,0.0,0.0
2431,-79.55769029,43.68534538,6258788,1207741,2010,43.68534538,-79.55769029,4,7,11,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,14.5,-1.5,16.0,6.75,0.0,0.0
2432,-79.45779029,43.64864538,6256353,1205226,2010,43.64864538,-79.45779029,14,87,11,16,1,0,0,0,1,0,1,0,0,0,1,0,0,0,,,,,,,,,,,10.7,-1.5,12.0,5.875,27.666666666666668,0.0
2433,-79.45779029,43.64864538,6256354,1205226,2010,43.64864538,-79.45779029,14,87,11,16,1,0,0,0,1,0,1,0,0,0,1,0,0,0,,,,,,,,,,,10.7,-1.5,12.0,5.875,27.666666666666668,0.0
2434,-79.45779029,43.64864538,6256355,1205226,2010,43.64864538,-79.45779029,14,87,11,16,1,0,0,0,1,0,1,0,0,0,1,0,0,0,,,,,,,,,,,10.7,-1.5,12.0,5.875,27.666666666666668,0.0
